index;2025;2030;2035;2040;2045;2050
7923;4,09E-05;4,16E-05;4,10E-05;4,18E-05;4,13E-05;4,13E-05
7924;4,32E-05;4,40E-05;4,34E-05;4,36E-05;4,38E-05;4,38E-05
7925;4,79E-05;4,84E-05;4,75E-05;4,79E-05;4,77E-05;4,77E-05
7926;7,99E-05;8,25E-05;8,37E-05;8,30E-05;8,38E-05;8,38E-05
7927;2,13E-04;2,13E-04;2,03E-04;2,07E-04;2,07E-04;2,07E-04
7928;2,12E-04;2,01E-04;1,99E-04;2,01E-04;2,04E-04;2,04E-04
7929;1,33E-04;1,26E-04;1,32E-04;1,32E-04;1,29E-04;1,29E-04
7930;1,10E-04;1,03E-04;1,10E-04;1,03E-04;1,04E-04;1,04E-04
7931;1,04E-04;1,03E-04;1,10E-04;1,02E-04;1,06E-04;1,06E-04
7932;1,04E-04;1,02E-04;1,10E-04;1,01E-04;1,05E-04;1,05E-04
7933;1,01E-04;9,75E-05;1,01E-04;1,05E-04;1,05E-04;1,05E-04
7934;1,21E-04;1,20E-04;1,23E-04;1,34E-04;1,27E-04;1,27E-04
7935;1,36E-04;1,36E-04;1,42E-04;1,54E-04;1,40E-04;1,40E-04
7936;1,38E-04;1,39E-04;1,41E-04;1,47E-04;1,37E-04;1,37E-04
7937;1,05E-04;1,05E-04;1,06E-04;1,12E-04;1,04E-04;1,04E-04
7938;1,17E-04;1,16E-04;1,14E-04;1,15E-04;1,16E-04;1,16E-04
7939;2,31E-04;2,25E-04;2,19E-04;2,28E-04;2,24E-04;2,24E-04
7940;2,93E-04;2,90E-04;2,76E-04;2,87E-04;2,88E-04;2,88E-04
7941;2,32E-04;2,37E-04;2,34E-04;2,37E-04;2,37E-04;2,37E-04
7942;2,04E-04;2,01E-04;2,09E-04;2,11E-04;2,05E-04;2,05E-04
7943;1,83E-04;1,74E-04;1,83E-04;1,92E-04;1,79E-04;1,79E-04
7944;3,91E-05;4,03E-05;3,94E-05;4,03E-05;4,04E-05;4,04E-05
7945;4,06E-05;4,08E-05;4,12E-05;4,06E-05;4,09E-05;4,09E-05
7946;4,21E-05;4,23E-05;4,18E-05;4,26E-05;4,24E-05;4,24E-05
7947;4,39E-05;4,44E-05;4,32E-05;4,40E-05;4,37E-05;4,37E-05
7948;4,56E-05;4,62E-05;4,59E-05;4,60E-05;4,58E-05;4,58E-05
7949;4,98E-05;5,02E-05;5,08E-05;5,04E-05;4,97E-05;4,97E-05
7950;8,47E-05;8,78E-05;8,52E-05;8,46E-05;8,05E-05;8,05E-05
7951;2,09E-04;2,11E-04;2,12E-04;2,11E-04;2,11E-04;2,11E-04
7952;2,04E-04;2,08E-04;2,08E-04;2,10E-04;2,09E-04;2,09E-04
7953;1,36E-04;1,36E-04;1,36E-04;1,29E-04;1,35E-04;1,35E-04
7954;1,10E-04;1,13E-04;1,11E-04;1,03E-04;1,09E-04;1,09E-04
7955;1,10E-04;1,07E-04;1,17E-04;1,03E-04;1,14E-04;1,14E-04
7956;1,07E-04;1,07E-04;1,11E-04;9,95E-05;1,03E-04;1,03E-04
7957;1,02E-04;1,04E-04;9,98E-05;1,03E-04;9,85E-05;9,85E-05
7958;1,24E-04;1,23E-04;1,23E-04;1,33E-04;1,19E-04;1,19E-04
7959;1,45E-04;1,35E-04;1,44E-04;1,57E-04;1,44E-04;1,44E-04
7960;1,42E-04;1,37E-04;1,45E-04;1,44E-04;1,51E-04;1,51E-04
7961;1,09E-04;1,02E-04;1,07E-04;1,10E-04;1,07E-04;1,07E-04
7962;1,19E-04;1,17E-04;1,22E-04;1,15E-04;1,16E-04;1,16E-04
7963;2,28E-04;2,37E-04;2,38E-04;2,32E-04;2,25E-04;2,25E-04
7964;2,95E-04;2,87E-04;2,98E-04;2,99E-04;2,95E-04;2,95E-04
7965;2,33E-04;2,32E-04;2,40E-04;2,42E-04;2,32E-04;2,32E-04
7966;2,10E-04;2,06E-04;2,04E-04;2,12E-04;2,13E-04;2,13E-04
7967;1,81E-04;1,80E-04;1,80E-04;1,86E-04;1,83E-04;1,83E-04
7968;9,31E-05;4,26E-05;4,26E-05;4,20E-05;4,18E-05;4,18E-05
7969;4,30E-05;4,34E-05;4,32E-05;4,25E-05;4,26E-05;4,26E-05
7970;4,45E-05;4,45E-05;4,38E-05;4,33E-05;4,38E-05;4,38E-05
7971;4,54E-05;4,50E-05;4,59E-05;4,46E-05;4,61E-05;4,61E-05
7972;4,75E-05;4,69E-05;4,81E-05;4,75E-05;4,72E-05;4,72E-05
7973;5,21E-05;5,13E-05;5,20E-05;5,19E-05;5,16E-05;5,16E-05
7974;5,41E-05;8,55E-05;8,53E-05;8,72E-05;8,90E-05;8,90E-05
7975;7,08E-05;2,11E-04;2,19E-04;2,10E-04;2,11E-04;2,11E-04
7976;1,22E-04;2,13E-04;2,03E-04;2,06E-04;2,07E-04;2,07E-04
7977;1,72E-04;1,34E-04;1,29E-04;1,36E-04;1,40E-04;1,40E-04
7978;1,96E-04;1,10E-04;1,10E-04;1,13E-04;1,11E-04;1,11E-04
7979;1,75E-04;1,11E-04;1,14E-04;1,16E-04;1,12E-04;1,12E-04
7980;1,25E-04;1,04E-04;1,04E-04;1,05E-04;1,13E-04;1,13E-04
7981;1,22E-04;9,96E-05;1,02E-04;1,02E-04;1,10E-04;1,10E-04
7982;1,81E-04;1,22E-04;1,32E-04;1,24E-04;1,30E-04;1,30E-04
7983;2,16E-04;1,44E-04;1,54E-04;1,45E-04;1,48E-04;1,48E-04
7984;2,08E-04;1,51E-04;1,43E-04;1,48E-04;1,49E-04;1,49E-04
7985;1,44E-04;1,11E-04;1,13E-04;1,12E-04;1,10E-04;1,10E-04
7986;1,51E-04;1,19E-04;1,20E-04;1,23E-04;1,12E-04;1,12E-04
